order_id,order_date,product_category,units_sold,unit_price,discount_pct,shipping_cost,return_flag,acquisition_channel
105523,2025-03-31,Apparel,2,40.98,0.10294308994536709,9.3,0.0,Referral
4628,2024-09-07,Beauty,4,31.6,0.08788333671315153,,0.0,Referral
102163,2025-09-07,Beauty,3,34.2,0.06816465243909345,11.14,0.0,Organic
106995,2025-11-15,Home,2,85.28,26.5,13.18,0.0,Paid Ads
102872,2025-02-28,Electronics,1,206.66,12.5,11.04,0.0,Email
213,2024-08-12,Apparel,2,48.93,9.2,,0.0,Organic
107633,2025-04-21,Home,4,74.61,13.0,10.69,,Referral
6604,2024-09-25,Apparel,1,43.54,0.18001888382055026,7.19,0.0,Referral
100044,2025-02-26,Apparel,4,42.32,0.11689612371405726,,1.0,Referral
103490,2025-06-10,Electronics,3,228.15,0.23827360550693905,7.18,1.0,Paid Ads
1930,2024-07-04,Apparel,2,46.07,0.08949128054578609,9.81,0.0,Organic
105747,2025-04-10,Apparel,2,44.29,0.1438540607341672,,0.0,Email
6203,2024-11-29,Home,2,73.33,7.8,9.14,0.0,Organic
106880,2025-12-30,Home,1,83.58,0.04844258711888548,,0.0,Organic
103864,2025-10-07,Apparel,1,47.52,0.13717402988257904,12.17,0.0,Email
6741,2024-10-12,Beauty,1,35.69,25.5,9.99,,Paid Ads
2329,2024-04-13,Home,2,78.38,5.0,6.31,0.0,Organic
105571,2025-02-02,Electronics,1,239.77,0.169535105200444,,0.0,Email
103479,2025-03-25,Apparel,2,47.7,0.05794842760435402,9.89,0.0,Organic
100800,2025-10-11,Home,3,86.63,0.2671778023655832,8.51,0.0,Paid Ads
8299,2024-01-26,Home,3,81.29,0.2779243023142765,8.51,1.0,Paid Ads
108744,2025-03-03,Home,3,78.49,24.1,13.79,0.0,Paid Ads
7889,2024-04-08,Apparel,2,43.33,0.16712927374036546,7.76,0.0,Email
100765,2025-07-05,Electronics,3,218.7,0.23491840852538373,12.16,0.0,Paid Ads
101069,2025-08-24,Apparel,4,41.96,0.1411063869195097,9.82,0.0,Referral
5173,2024-04-25,Home,4,86.06,14.4,,0.0,Email
2367,2024-04-10,Home,4,78.46,0.031549599220226175,8.31,0.0,Organic
101098,2025-12-17,Home,4,80.39,0.09874623976493788,12.75,0.0,Referral
104026,2025-03-27,Apparel,2,42.66,0.07843149111598796,11.2,0.0,Organic
3803,2024-04-20,Electronics,3,216.72,4.1,11.04,0.0,Organic
107124,2025-08-21,Electronics,4,215.69,0.16490552219403393,13.05,0.0,Paid Ads
1104,2024-01-15,Electronics,1,207.48,6.4,9.5,0.0,Organic
4634,2024-05-23,Beauty,2,34.14,0.07269945097286831,8.49,0.0,Organic
107387,2025-11-05,Home,2,87.89,27.2,,0.0,Paid Ads
106635,2025-01-14,Apparel,2,44.76,0.22772466375386663,10.9,0.0,Paid Ads
